title,link,domain,published_date,topic
Glasgow pub hit by coronavirus as drinker tests positive after returning from holiday,https://in.news.yahoo.com/glasgow-pub-conducts-own-track-and-trace-after-customer-tests-positive-for-coronavirus-140938069.html,in.news.yahoo.com,2020-08-06 14:09:00,HEALTH
Dinosaur leaves mark in Kelantan,https://www.thestar.com.my/news/nation/2020/08/16/dinosaur-leaves-mark-in-kelantan,thestar.com.my,2020-08-16 00:12:11,NATION
"India crosses grim milestone of 50,000 COVID-19 deaths",https://www.geo.tv/latest/303124-india-crosses-grim-milestone-of-50000-covid-19-deaths,geo.tv,2020-08-17 04:59:00,WORLD
"Tom Brady, Rob Gronkowski, and Buccaneers hit practice field ... and LeSean McCoy joins them",https://www.bostonglobe.com/2020/08/04/sports/tom-brady-rob-gronkowski-buccaneers-hit-practice-field-lesean-mccoy-joins-them/,bostonglobe.com,2020-08-04 23:55:02,SPORTS
Can Top Glove surpass market cap of Asean's largest bank?,https://www.theedgemarkets.com/article/can-top-glove-surpass-market-cap-aseans-largest-bank,theedgemarkets.com,2020-08-03 09:00:00,BUSINESS
Parasite conservation. Is there such a thing?,https://www.horsetalk.co.nz/2020/08/03/parasite-conservation-thing/,horsetalk.co.nz,2020-08-02 19:51:00,SCIENCE
"UPDATE | Missing Cape Town constable found, reunited with family",https://www.news24.com/news24/southafrica/news/cape-town-police-looking-for-missing-colleague-20200813,news24.com,2020-08-13 04:49:07,NATION
"Alia Bhatt Announces Sadak 2 Release Date, Gets Trolled For Disabling Comments",https://www.news18.com/news/movies/alia-bhatt-announces-sadak-2-release-date-gets-trolled-for-disabling-comments-2763111.html,news18.com,2020-08-06 09:03:00,ENTERTAINMENT
Tests underway for COVID-19 treatment,https://www.westernadvocate.com.au/story/6881073/tests-underway-for-covid-19-treatment/?cs=9397,westernadvocate.com.au,2020-08-16 21:24:56,HEALTH
TikTok: everything you wanted to know (but were afraid to ask),https://www.thetimes.co.uk/article/tiktok-everything-you-wanted-to-know-but-were-afraid-to-ask-kwn26wwr2,thetimes.co.uk,2020-08-05 16:00:00,WORLD
Ollie Horgan hits out at 'atrocious' fixture congestion after Finn Harps edge past St Pat's in FAI Cup,https://www.rte.ie/sport/soccer/2020/0810/1158439-ollie-horgan-hits-out-at-atrocious-fixture-congestion/,rte.ie,2020-08-10 22:11:59,SPORTS
Pixel 5 availability shows Google still can't get its act together,https://www.androidcentral.com/pixel-5-availability-google-hardware-ambitions,androidcentral.com,2020-08-06 10:30:02,TECHNOLOGY
"15% Students Enrolled in Delhi Govt Schools Not Traceable Since Lockdown, Not Attending E-classes",https://www.news18.com/news/education-career/15-students-enrolled-in-delhi-govt-schools-not-traceable-since-lockdown-not-attending-e-classes-2773375.html,news18.com,2020-08-10 08:49:14,NATION
Covid-19 is the last straw for Europe’s broken banking system,https://www.telegraph.co.uk/business/2020/08/04/covid-19-last-straw-europes-broken-banking-system/,telegraph.co.uk,2020-08-04 12:03:00,BUSINESS
Tata Sons may submit formal bid for Air India by August-end: Report,https://www.moneycontrol.com/news/business/tata-sons-may-submit-formal-bid-for-air-india-by-august-end-report-5700421.html,moneycontrol.com,2020-08-14 06:14:00,BUSINESS
Deepika Padukone celebrates 7 years of Chennai Express,https://www.thenews.com.pk/latest/697890-deepika-padukone-celebrates-7-years-of-chennai-express,thenews.com.pk,2020-08-08 12:43:28,ENTERTAINMENT
Genomic Study Reveals New Zealand’s Tuatara Is Like No Other Animal on The Planet,https://newstodayone.com/genomic-study-reveals-new-zealands-tuatara-is-like-no-other-animal-on-the-planet/,newstodayone.com,2020-08-08 04:47:29,SCIENCE
Transfer Talk: Pirlo wants Atalanta's Zapata to join Juventus project,https://www.espn.in/football/soccer-transfers/story/4159296/transfer-talk-pirlo-wants-atalantas-zapata-to-join-juventus-project,espn.in,2020-08-13 23:23:59,SPORTS
3 Really Important Takeaways From The Paramount Consent Decrees Ruling And How It Could Affect Theaters,https://www.cinemablend.com/news/2552063/3-really-important-takeaways-from-the-paramount-consent-decrees-ruling-and-how-it-could-affect-theaters,cinemablend.com,2020-08-07 19:15:00,ENTERTAINMENT
Samsung is launching a 5G version of the Galaxy A51 in the US this week,https://www.theverge.com/2020/8/4/21354387/samsung-galaxy-a51-5g-launch-tmobile-verizon-mid-range-android,theverge.com,2020-08-04 18:33:20,TECHNOLOGY
‘Letterkenny’ Producer New Metric Media & Canada’s The Feldman Agency Launches Live Touring Firm,https://deadline.com/2020/08/letterkenny-new-metric-media-the-feldman-agency-live-touring-firm-1203003301/,deadline.com,2020-08-04 15:00:00,ENTERTAINMENT
Selling Sunset's Chrishell Stause's emotional goodbye to step-daughter amid shock divorce,https://www.mirror.co.uk/3am/celebrity-news/selling-sunsets-chrishell-stauses-emotional-22488719,mirror.co.uk,2020-08-08 02:22:00,ENTERTAINMENT
"Arsenal transfer news LIVE: Tottenham want Maitland-Niles, Zaha distances himself from Instagram video,",https://talksport.com/football/720466/arsenal-transfer-news-live-tottenham-maitland-niles-zaha-partey/,talksport.com,2020-08-10 11:48:29,SPORTS
Katie Price explains how she broke both feet on holiday,https://www.heart.co.uk/showbiz/celebrities/katie-price-broke-both-feet-on-holiday/,heart.co.uk,2020-08-04 11:15:02,ENTERTAINMENT
Bernado Silva slams Liverpool fans after Twitter troll,https://futaa.com/ug/article/212174/bernado-silva-slams-liverpool-fans-after-twitter-troll,futaa.com,2020-08-16 18:31:07,SPORTS
"Your weekly dose of bike updates: Honda Activa 6G price hike, 2021 KTM RC 390 spy shots and more!",https://www.bikewale.com/news/49587-your-weekly-dose-of-bike-updates-honda-activa-6g-price-hike-2021-ktm-rc-390-spy-shots-and-more.html,bikewale.com,2020-08-16 03:05:39,BUSINESS
Coronavirus: US reaches 5 million confirmed cases of COVID-19,https://www.radioexe.co.uk/news-and-features/world-news/coronavirus-us-reaches-5-million-confirmed-cases-of-covid-19/,radioexe.co.uk,2020-08-09 21:38:00,HEALTH
Barcelona’s dressing room begins a massive rebellion against Lionel Messi,https://everythingbarca.com/2020/08/17/barcelonas-dressing-room-begins-massive-rebellion-lionel-messi/,everythingbarca.com,2020-08-17 09:23:00,SPORTS
DCGI gives permission to Serum Institute of India to conduct phase 2 and 3 human clinical trial of Corona vaccine developed by Oxford university,http://www.newsonair.com/News?title=DCGI-gives-permission-to-Serum-Institute-of-India-to-conduct-phase-2-and-3-human-clinical-trial-of-Corona-vaccine-developed-by-Oxford-university&id=396378,newsonair.com,2020-08-03 02:30:23,HEALTH
Phil Collins' 'In the Air Tonight' is back on the charts after twin YouTubers rapturously reacted to the song,https://www.cnn.com/2020/08/11/entertainment/in-the-air-tonight-charts-reaction-video-trnd/index.html,cnn.com,2020-08-11 15:13:00,ENTERTAINMENT
Japan stocks rise most in a week as U.S. stimulus bets gather steam,https://www.reuters.com/article/japan-stocks-close/japan-stocks-rise-most-in-a-week-as-us-stimulus-bets-gather-steam-idUSL4N2FD1AP,reuters.com,2020-08-11 06:32:00,BUSINESS
